image_id,psnr_embed,clean_ber_std,clean_ncc_std,clean_ber_enh,clean_ncc_enh,whatsapp_psnr,whatsapp_ber_std,whatsapp_ncc_std,whatsapp_ber_enh,whatsapp_ncc_enh,jpeg_psnr,jpeg_ber_std,jpeg_ncc_std,jpeg_ber_enh,jpeg_ncc_enh,crop_psnr,crop_ber_std,crop_ncc_std,crop_ber_enh,crop_ncc_enh,rot_psnr,rot_ber_std,rot_ncc_std,rot_ber_enh,rot_ncc_enh,gauss_psnr,gauss_ber_std,gauss_ncc_std,gauss_ber_enh,gauss_ncc_enh,uniform_psnr,uniform_ber_std,uniform_ncc_std,uniform_ber_enh,uniform_ncc_enh
1,34.34017013695001,0.0,1.0,0.0,1.0,43.87148386845608,0.0,1.0,0.0,1.0,39.19539620106231,0.0009765625,0.9994610616692895,0.0009765625,0.9994610616692895,17.295371535293945,0.0439453125,0.9754262200082647,0.0439453125,0.9754262200082647,18.43392072974977,0.5146484375,0.6576322233726122,0.0068359375,0.9962178122521371,28.12763108634314,0.0029296875,0.9983857939435972,0.0029296875,0.9983857939435972,29.383453335387184,0.001953125,0.9989229937639829,0.001953125,0.9989229937639829
2,32.76554906326251,0.0,1.0,0.0,1.0,44.51355393275186,0.0,1.0,0.0,1.0,39.96934326488236,0.0,1.0,0.0,1.0,19.259892328727023,0.052734375,0.9704367948586522,0.052734375,0.9704367948586522,17.630268566547166,0.5966796875,0.5839545985233162,0.1298828125,0.9254871308354121,28.46969089110619,0.0009765625,0.9994604801333747,0.0009765625,0.9994604801333747,29.603760833018814,0.001953125,0.9989206688705923,0.001953125,0.9989206688705923
3,34.18526088322174,0.0,1.0,0.0,1.0,43.550165672494046,0.0,1.0,0.0,1.0,38.85438237916847,0.0,1.0,0.0,1.0,19.65724477252105,0.033203125,0.9814899621732347,0.033203125,0.9814899621732347,19.756309080846545,0.5615234375,0.6163004257484098,0.0771484375,0.9564413864124085,28.241246280280027,0.0,1.0,0.0,1.0,29.48475858359728,0.0,1.0,0.0,1.0
4,32.72239905335021,0.0,1.0,0.0,1.0,43.267611718711095,0.0,1.0,0.0,1.0,38.383411909142076,0.0,1.0,0.0,1.0,23.038575271959104,0.0205078125,0.9886082532111252,0.0205078125,0.9886082532111252,24.576749231299054,0.5810546875,0.5984757943274152,0.1259765625,0.9278183034628852,28.353733931383832,0.001953125,0.9989229937639829,0.001953125,0.9989229937639829,29.579302696815482,0.001953125,0.9989229937639829,0.001953125,0.9989229937639829
5,32.156276871211496,0.0,1.0,0.0,1.0,45.02900876871899,0.0,1.0,0.0,1.0,40.003856419599266,0.0029296875,0.9983805657389908,0.0029296875,0.9983805657389908,19.058459023394438,0.0439453125,0.9754262200082647,0.0439453125,0.9754262200082647,21.882425456049294,0.51953125,0.6528408189895902,0.103515625,0.9410911979899698,28.139595277929153,0.0009765625,0.9994610616692895,0.0009765625,0.9994610616692895,29.38521160428877,0.0,1.0,0.0,1.0
6,32.59434127595452,0.0,1.0,0.0,1.0,43.0192317075351,0.0,1.0,0.0,1.0,38.397368934520216,0.0009765625,0.9994604801333747,0.0009765625,0.9994604801333747,22.529881975873142,0.01953125,0.9891536922888758,0.01953125,0.9891536922888758,23.111845851058654,0.55078125,0.625777530753774,0.203125,0.8806964565929026,28.32686785739093,0.0009765625,0.9994610616692895,0.0009765625,0.9994610616692895,29.555961713924024,0.0,1.0,0.0,1.0
7,33.257503542802624,0.0,1.0,0.0,1.0,41.628317606256104,0.0,1.0,0.0,1.0,38.168702019192395,0.0,1.0,0.0,1.0,14.683619352946067,0.0537109375,0.9698808298775524,0.0537109375,0.9698808298775524,17.871948558752077,0.6318359375,0.5496212960519818,0.0322265625,0.9820399678520882,28.350477749142897,0.0009765625,0.9994610616692895,0.0009765625,0.9994610616692895,29.589944555315103,0.0,1.0,0.0,1.0
8,33.47587661055097,0.0,1.0,0.0,1.0,41.51817291664547,0.0009765625,0.9994610616692895,0.0009765625,0.9994610616692895,37.49308564309113,0.0009765625,0.9994610616692895,0.0009765625,0.9994610616692895,21.055014689128143,0.0302734375,0.9831372192128168,0.0302734375,0.9831372192128168,17.371795874172676,0.5185546875,0.6537549430315627,0.0341796875,0.9809402617872577,28.323876271818396,0.001953125,0.9989229937639829,0.001953125,0.9989229937639829,29.53582093211373,0.001953125,0.9989229937639829,0.001953125,0.9989229937639829
9,32.461083119896145,0.0,1.0,0.0,1.0,44.41608322983039,0.0,1.0,0.0,1.0,39.92643131679259,0.0009765625,0.9994604801333747,0.0009765625,0.9994604801333747,16.238862403414345,0.0439453125,0.9754262200082647,0.0439453125,0.9754262200082647,16.80670513284531,0.5185546875,0.6536261842508233,0.1474609375,0.9149365844766554,28.2604598505911,0.0,1.0,0.0,1.0,29.496943882664336,0.0,1.0,0.0,1.0
10,33.224431045715555,0.0,1.0,0.0,1.0,43.681104935932396,0.0,1.0,0.0,1.0,39.325928211536485,0.0,1.0,0.0,1.0,19.246997452708495,0.0380859375,0.9787383729010509,0.0380859375,0.9787383729010509,19.610179381566002,0.5634765625,0.6144999920892614,0.052734375,0.9704367948586522,28.394580013259237,0.0,1.0,0.0,1.0,29.534390751856876,0.0,1.0,0.0,1.0
